08/22/2022 22:56:57 MDT Batch 6
08/22/2022 22:56:57 MDT Batch 7
08/22/2022 22:56:57 MDT Batch 8
08/22/2022 22:56:57 MDT Batch 9
08/22/2022 22:56:58 MDT Batch 10
08/22/2022 22:56:58 MDT Batch 11
08/22/2022 22:56:58 MDT Batch 12
08/22/2022 22:56:58 MDT Batch 13
08/22/2022 22:56:58 MDT Batch 14
08/22/2022 22:56:59 MDT Batch 15
08/22/2022 22:56:59 MDT Batch 16
08/22/2022 22:56:59 MDT Batch 17
08/22/2022 22:56:59 MDT Batch 18
08/22/2022 22:56:59 MDT Batch 19
08/22/2022 22:57:00 MDT Batch 20
08/22/2022 22:57:00 MDT Batch 21
08/22/2022 22:57:00 MDT Batch 22
08/22/2022 22:57:00 MDT Batch 23
08/22/2022 22:57:00 MDT Batch 24
08/22/2022 22:57:01 MDT Batch 25
08/22/2022 22:57:01 MDT Batch 26
08/22/2022 22:57:01 MDT Batch 27
08/22/2022 22:57:01 MDT Batch 28
08/22/2022 22:57:01 MDT Batch 29
